sku;descricao;ean,hora_criacao
3271;estopa automotiva;2545615207,20231024004340
2336;abajur iluminacao;5465116852,20231024004340
6751;computador dual core i3;6635233578,20231024004340
5843;liquidificador electrolux;1774091404,20231024004340
3638;cimento 5kg;8124894863,20231024004340
3216;mesa cabeceira arnold;8398391956,20231024004340
7008;quadro decorativo 30x50;3292766577,20231024004340
8519;argamassa 3kg;3212564581,20231024004340
2293;quadro decorativo 140x200;5976493391,20231024004340
1278;pneu pirelli 15;4815080413,20231024004340
2056;garrafa de agua 600ml;8072406189,20231024004340
6700;vergalhao de aco 3;9832425976,20231024004340
2911;garrafa de agua 2l;9188426057,20231024004340
5304;notebook positivo 15;6740637943,20231024004340
8158;celular samsung a3;2286110044,20231024004340
3893;cama casal arnold;3815193100,20231024004340
1503;air fryer electrolux;7818256412,20231024004340
4500;cimento 10kg;4258547735,20231024004340
5214;argamassa 5kg;3673088665,20231024004340
8265;cera automotiva 100g;4013285043,20231024004340
6009;mesa de centro 90cm;3703598814,20231024004340
5112;quadro decorativo 3d;4795729403,20231024004340
6894;galao de agua 5l;7789146004,20231024004340
1024;pneu pirelli 16;6227768340,20231024004340
6911;-;6765039727,20231024004340
8828;-;2420796934,20231024004340
8108;-;7626879200,20231024004340
2166;-;7416134392,20231024004340
7738;-;1228201464,20231024004340
3158;-;2880056574,20231024004340
3073;-;6813159018,20231024004340
7764;-;4011563779,20231024004340
3207;-;2784112573,20231024004340
5824;-;6943509434,20231024004340
2929;-;3552016462,20231024004340
8082;-;1196413632,20231024004340
4776;-;9784788236,20231024004340
1616;-;2933924441,20231024004340
1538;-;8017590534,20231024004340
7614;-;5746392068,20231024004340
2500;-;3927837617,20231024004340
2795;-;6824312548,20231024004340
8476;-;2241504799,20231024004340
4835;-;1271089114,20231024004340
2290;-;8036520298,20231024004340
8257;-;2750419124,20231024004340
4675;-;4850940191,20231024004340
4806;-;8679354769,20231024004340
3663;-;7064429263,20231024004340
7774;-;3745452318,20231024004340
7240;-;1501872482,20231024004340
3289;-;4903904261,20231024004340
6451;-;1445466430,20231024004340
5966;-;9138733827,20231024004340
5698;-;7098440546,20231024004340
4869;-;2214853559,20231024004340
4178;-;9956449367,20231024004340
5133;-;6337230874,20231024004340
2485;-;3261405289,20231024004340
4701;-;7054654427,20231024004340
1827;-;7162141848,20231024004340
7942;-;7987139958,20231024004340
3635;-;1169401724,20231024004340
3811;-;4671984518,20231024004340
6928;-;3928677979,20231024004340
2673;-;4719011195,20231024004340
2129;-;4716447201,20231024004340
