sku;classe;qtde_vendida;valor_unitario,hora_criacao
49,20231025104904
73,20231025104904
94,20231025104904
78,20231025104904
75,20231025104904
97,20231025104904
75,20231025104904
38,20231025104904
5,20231025104904
26,20231025104904
23,20231025104904
27,20231025104904
96,20231025104904
82,20231025104904
27,20231025104904
15,20231025104904
16,20231025104904
56,20231025104904
5,20231025104904
24,20231025104904
96,20231025104904
67,20231025104904
91,20231025104904
72,20231025104904
6,20231025104904
96,20231025104904
61,20231025104904
34,20231025104904
65,20231025104904
15,20231025104904
75,20231025104904
14,20231025104904
12,20231025104904
17,20231025104904
4,20231025104904
72,20231025104904
24,20231025104904
96,20231025104904
82,20231025104904
93,20231025104904
26,20231025104904
21,20231025104904
92,20231025104904
52,20231025104904
47,20231025104904
2,20231025104904
67,20231025104904
46,20231025104904
66,20231025104904
68,20231025104904
59,20231025104904
24,20231025104904
57,20231025104904
93,20231025104904
1,20231025104904
53,20231025104904
89,20231025104904
92,20231025104904
3,20231025104904
12,20231025104904
55,20231025104904
77,20231025104904
15,20231025104904
44,20231025104904
48,20231025104904
28,20231025104904
53,20231025104904
63,20231025104904
2,20231025104904
96,20231025104904
26,20231025104904
69,20231025104904
61,20231025104904
7,20231025104904
15,20231025104904
61,20231025104904
67,20231025104904
67,20231025104904
74,20231025104904
32,20231025104904
16,20231025104904
5,20231025104904
8,20231025104904
4,20231025104904
55,20231025104904
19,20231025104904
14,20231025104904
3,20231025104904
75,20231025104904
56,20231025104904
86,20231025104904
6,20231025104904
25,20231025104904
8,20231025104904
97,20231025104904
7,20231025104904
73,20231025104904
65,20231025104904
0,20231025104904
76,20231025104904
61,20231025104904
62,20231025104904
69,20231025104904
82,20231025104904
47,20231025104904
65,20231025104904
96,20231025104904
13,20231025104904
42,20231025104904
46,20231025104904
46,20231025104904
24,20231025104904
45,20231025104904
26,20231025104904
67,20231025104904
83,20231025104904
7,20231025104904
71,20231025104904
64,20231025104904
1,20231025104904
14,20231025104904
33,20231025104904
47,20231025104904
45,20231025104904
39,20231025104904
63,20231025104904
54,20231025104904
3,20231025104904
68,20231025104904
94,20231025104904
44,20231025104904
48,20231025104904
52,20231025104904
4,20231025104904
86,20231025104904
23,20231025104904
31,20231025104904
32,20231025104904
4,20231025104904
57,20231025104904
29,20231025104904
61,20231025104904
78,20231025104904
48,20231025104904
6,20231025104904
25,20231025104904
44,20231025104904
87,20231025104904
39,20231025104904
6,20231025104904
29,20231025104904
83,20231025104904
22,20231025104904
5,20231025104904
36,20231025104904
84,20231025104904
41,20231025104904
22,20231025104904
59,20231025104904
65,20231025104904
18,20231025104904
85,20231025104904
48,20231025104904
2,20231025104904
94,20231025104904
2,20231025104904
37,20231025104904
86,20231025104904
24,20231025104904
33,20231025104904
28,20231025104904
61,20231025104904
61,20231025104904
82,20231025104904
56,20231025104904
44,20231025104904
73,20231025104904
8,20231025104904
84,20231025104904
2,20231025104904
43,20231025104904
6,20231025104904
28,20231025104904
37,20231025104904
97,20231025104904
73,20231025104904
72,20231025104904
32,20231025104904
12,20231025104904
12,20231025104904
57,20231025104904
99,20231025104904
3,20231025104904
37,20231025104904
27,20231025104904
32,20231025104904
7,20231025104904
27,20231025104904
44,20231025104904
86,20231025104904
89,20231025104904
79,20231025104904
18,20231025104904
82,20231025104904
11,20231025104904
2,20231025104904
79,20231025104904
81,20231025104904
51,20231025104904
6,20231025104904
75,20231025104904
7,20231025104904
57,20231025104904
33,20231025104904
19,20231025104904
12,20231025104904
77,20231025104904
31,20231025104904
95,20231025104904
13,20231025104904
24,20231025104904
99,20231025104904
85,20231025104904
67,20231025104904
49,20231025104904
17,20231025104904
1,20231025104904
31,20231025104904
55,20231025104904
0,20231025104904
25,20231025104904
16,20231025104904
18,20231025104904
74,20231025104904
93,20231025104904
28,20231025104904
15,20231025104904
53,20231025104904
7,20231025104904
44,20231025104904
27,20231025104904
89,20231025104904
11,20231025104904
1,20231025104904
5,20231025104904
96,20231025104904
0,20231025104904
47,20231025104904
32,20231025104904
93,20231025104904
87,20231025104904
41,20231025104904
52,20231025104904
39,20231025104904
64,20231025104904
3,20231025104904
19,20231025104904
89,20231025104904
83,20231025104904
39,20231025104904
52,20231025104904
83,20231025104904
68,20231025104904
69,20231025104904
53,20231025104904
71,20231025104904
61,20231025104904
77,20231025104904
15,20231025104904
57,20231025104904
46,20231025104904
24,20231025104904
26,20231025104904
29,20231025104904
45,20231025104904
5,20231025104904
38,20231025104904
36,20231025104904
93,20231025104904
3,20231025104904
12,20231025104904
68,20231025104904
48,20231025104904
78,20231025104904
52,20231025104904
83,20231025104904
78,20231025104904
51,20231025104904
21,20231025104904
44,20231025104904
3,20231025104904
5,20231025104904
7,20231025104904
32,20231025104904
71,20231025104904
93,20231025104904
76,20231025104904
31,20231025104904
48,20231025104904
18,20231025104904
76,20231025104904
99,20231025104904
98,20231025104904
4,20231025104904
69,20231025104904
62,20231025104904
1,20231025104904
23,20231025104904
82,20231025104904
35,20231025104904
95,20231025104904
2,20231025104904
16,20231025104904
39,20231025104904
72,20231025104904
47,20231025104904
94,20231025104904
0,20231025104904
0,20231025104904
98,20231025104904
14,20231025104904
82,20231025104904
81,20231025104904
66,20231025104904
14,20231025104904
18,20231025104904
31,20231025104904
36,20231025104904
5,20231025104904
77,20231025104904
81,20231025104904
19,20231025104904
16,20231025104904
24,20231025104904
4,20231025104904
43,20231025104904
78,20231025104904
86,20231025104904
22,20231025104904
32,20231025104904
37,20231025104904
41,20231025104904
32,20231025104904
44,20231025104904
5,20231025104904
59,20231025104904
3,20231025104904
83,20231025104904
15,20231025104904
4,20231025104904
25,20231025104904
42,20231025104904
77,20231025104904
29,20231025104904
16,20231025104904
99,20231025104904
92,20231025104904
37,20231025104904
45,20231025104904
39,20231025104904
75,20231025104904
89,20231025104904
78,20231025104904
9,20231025104904
42,20231025104904
8,20231025104904
32,20231025104904
74,20231025104904
48,20231025104904
54,20231025104904
2,20231025104904
7,20231025104904
94,20231025104904
86,20231025104904
71,20231025104904
29,20231025104904
13,20231025104904
5,20231025104904
5,20231025104904
84,20231025104904
75,20231025104904
7,20231025104904
32,20231025104904
23,20231025104904
44,20231025104904
58,20231025104904
45,20231025104904
49,20231025104904
27,20231025104904
83,20231025104904
35,20231025104904
19,20231025104904
72,20231025104904
56,20231025104904
95,20231025104904
35,20231025104904
14,20231025104904
28,20231025104904
98,20231025104904
95,20231025104904
27,20231025104904
98,20231025104904
47,20231025104904
37,20231025104904
13,20231025104904
6,20231025104904
43,20231025104904
79,20231025104904
25,20231025104904
77,20231025104904
74,20231025104904
54,20231025104904
43,20231025104904
62,20231025104904
13,20231025104904
43,20231025104904
92,20231025104904
47,20231025104904
34,20231025104904
48,20231025104904
18,20231025104904
14,20231025104904
35,20231025104904
79,20231025104904
1,20231025104904
69,20231025104904
92,20231025104904
5,20231025104904
85,20231025104904
18,20231025104904
31,20231025104904
11,20231025104904
67,20231025104904
36,20231025104904
14,20231025104904
15,20231025104904
63,20231025104904
4,20231025104904
65,20231025104904
5,20231025104904
67,20231025104904
78,20231025104904
52,20231025104904
33,20231025104904
7,20231025104904
24,20231025104904
5,20231025104904
72,20231025104904
31,20231025104904
94,20231025104904
83,20231025104904
68,20231025104904
35,20231025104904
4,20231025104904
56,20231025104904
5,20231025104904
5,20231025104904
28,20231025104904
45,20231025104904
3,20231025104904
69,20231025104904
39,20231025104904
84,20231025104904
59,20231025104904
75,20231025104904
14,20231025104904
88,20231025104904
4,20231025104904
17,20231025104904
41,20231025104904
47,20231025104904
57,20231025104904
39,20231025104904
2,20231025104904
89,20231025104904
55,20231025104904
93,20231025104904
4,20231025104904
47,20231025104904
32,20231025104904
6,20231025104904
11,20231025104904
0,20231025104904
12,20231025104904
1,20231025104904
33,20231025104904
51,20231025104904
82,20231025104904
71,20231025104904
77,20231025104904
12,20231025104904
79,20231025104904
4,20231025104904
98,20231025104904
86,20231025104904
56,20231025104904
93,20231025104904
67,20231025104904
38,20231025104904
96,20231025104904
8,20231025104904
12,20231025104904
86,20231025104904
48,20231025104904
5,20231025104904
43,20231025104904
56,20231025104904
88,20231025104904
3,20231025104904
62,20231025104904
47,20231025104904
62,20231025104904
82,20231025104904
78,20231025104904
93,20231025104904
85,20231025104904
9,20231025104904
23,20231025104904
99,20231025104904
7,20231025104904
75,20231025104904
56,20231025104904
9,20231025104904
71,20231025104904
2,20231025104904
11,20231025104904
67,20231025104904
55,20231025104904
94,20231025104904
38,20231025104904
58,20231025104904
16,20231025104904
73,20231025104904
74,20231025104904
15,20231025104904
7,20231025104904
53,20231025104904
97,20231025104904
69,20231025104904
4,20231025104904
45,20231025104904
15,20231025104904
3,20231025104904
3,20231025104904
87,20231025104904
8,20231025104904
63,20231025104904
45,20231025104904
16,20231025104904
91,20231025104904
96,20231025104904
35,20231025104904
74,20231025104904
53,20231025104904
28,20231025104904
81,20231025104904
5,20231025104904
46,20231025104904
9,20231025104904
36,20231025104904
56,20231025104904
86,20231025104904
26,20231025104904
0,20231025104904
83,20231025104904
15,20231025104904
28,20231025104904
41,20231025104904
74,20231025104904
77,20231025104904
94,20231025104904
46,20231025104904
73,20231025104904
53,20231025104904
62,20231025104904
23,20231025104904
14,20231025104904
31,20231025104904
95,20231025104904
8,20231025104904
73,20231025104904
99,20231025104904
47,20231025104904
93,20231025104904
6,20231025104904
6,20231025104904
46,20231025104904
74,20231025104904
64,20231025104904
0,20231025104904
1,20231025104904
9,20231025104904
43,20231025104904
48,20231025104904
32,20231025104904
44,20231025104904
36,20231025104904
9,20231025104904
33,20231025104904
44,20231025104904
4,20231025104904
7,20231025104904
66,20231025104904
52,20231025104904
19,20231025104904
41,20231025104904
87,20231025104904
78,20231025104904
49,20231025104904
46,20231025104904
76,20231025104904
4,20231025104904
67,20231025104904
72,20231025104904
37,20231025104904
93,20231025104904
18,20231025104904
92,20231025104904
44,20231025104904
84,20231025104904
7,20231025104904
41,20231025104904
47,20231025104904
92,20231025104904
1,20231025104904
2,20231025104904
96,20231025104904
4,20231025104904
49,20231025104904
36,20231025104904
44,20231025104904
51,20231025104904
75,20231025104904
22,20231025104904
48,20231025104904
12,20231025104904
63,20231025104904
29,20231025104904
83,20231025104904
18,20231025104904
78,20231025104904
42,20231025104904
11,20231025104904
27,20231025104904
27,20231025104904
49,20231025104904
5,20231025104904
81,20231025104904
2,20231025104904
51,20231025104904
9,20231025104904
22,20231025104904
24,20231025104904
16,20231025104904
8,20231025104904
73,20231025104904
76,20231025104904
21,20231025104904
38,20231025104904
37,20231025104904
8,20231025104904
11,20231025104904
49,20231025104904
2,20231025104904
63,20231025104904
7,20231025104904
98,20231025104904
39,20231025104904
45,20231025104904
7,20231025104904
98,20231025104904
6,20231025104904
0,20231025104904
44,20231025104904
9,20231025104904
22,20231025104904
93,20231025104904
45,20231025104904
95,20231025104904
0,20231025104904
45,20231025104904
76,20231025104904
89,20231025104904
8,20231025104904
76,20231025104904
76,20231025104904
96,20231025104904
45,20231025104904
29,20231025104904
19,20231025104904
73,20231025104904
17,20231025104904
98,20231025104904
64,20231025104904
68,20231025104904
84,20231025104904
67,20231025104904
86,20231025104904
92,20231025104904
83,20231025104904
66,20231025104904
74,20231025104904
57,20231025104904
62,20231025104904
95,20231025104904
64,20231025104904
55,20231025104904
52,20231025104904
72,20231025104904
33,20231025104904
29,20231025104904
31,20231025104904
94,20231025104904
56,20231025104904
27,20231025104904
61,20231025104904
55,20231025104904
17,20231025104904
2,20231025104904
67,20231025104904
41,20231025104904
65,20231025104904
15,20231025104904
2,20231025104904
58,20231025104904
93,20231025104904
61,20231025104904
1,20231025104904
93,20231025104904
42,20231025104904
59,20231025104904
23,20231025104904
21,20231025104904
91,20231025104904
12,20231025104904
2,20231025104904
36,20231025104904
92,20231025104904
78,20231025104904
53,20231025104904
9,20231025104904
2,20231025104904
4,20231025104904
97,20231025104904
95,20231025104904
85,20231025104904
1,20231025104904
59,20231025104904
59,20231025104904
49,20231025104904
76,20231025104904
84,20231025104904
47,20231025104904
36,20231025104904
32,20231025104904
41,20231025104904
83,20231025104904
71,20231025104904
58,20231025104904
69,20231025104904
54,20231025104904
11,20231025104904
2,20231025104904
2,20231025104904
99,20231025104904
52,20231025104904
78,20231025104904
34,20231025104904
9,20231025104904
46,20231025104904
55,20231025104904
28,20231025104904
93,20231025104904
16,20231025104904
27,20231025104904
76,20231025104904
9,20231025104904
6,20231025104904
89,20231025104904
23,20231025104904
29,20231025104904
69,20231025104904
4,20231025104904
74,20231025104904
11,20231025104904
86,20231025104904
18,20231025104904
28,20231025104904
78,20231025104904
87,20231025104904
3,20231025104904
71,20231025104904
44,20231025104904
12,20231025104904
15,20231025104904
85,20231025104904
33,20231025104904
88,20231025104904
7,20231025104904
