Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
A front role wear process whether peace traditional.,360.23,34,990.01
Front rich this address character.,525.71,59,429.51
Country cut themselves set nation result.,737.22,29,931.4
Whether resource somebody relate.,991.51,28,635.84
Guess process speak Republican spring ask week.,138.72,59,880.29
Else change identify side few lay thing.,298.79,30,224.73
Identify they boy.,171.01,25,561.97
Question common tend behavior body this degree.,448.27,53,889.92
Answer along drop coach respond opportunity ago.,312.5,50,516.14
Leader there gas election executive audience pattern.,798.52,50,580.7
