Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Dinner executive partner phone same tend generation investment.,135.96,46,870.42
Explain attack maybe feel purpose.,342.23,19,631.97
Be site south worry wrong score upon.,182.66,60,821.66
Star value plant education group serve.,129.34,48,572.06
Doctor dream born discuss future begin.,227.23,22,760.98
Executive state religious fire loss thousand issue.,984.42,61,825.58
Most help important head.,872.94,19,344.63
Often know card really program.,617.08,29,533.36
Fear minute point describe family stop themselves former.,313.68,57,124.33
Still training yet quickly anything explain.,451.3,34,714.73
