Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Key shoulder edge wide particular state ball.,675.17,59,208.4
Forward station reflect.,459.16,59,246.62
Clearly time nor floor.,376.97,34,127.28
Sell not far blood understand thing.,596.06,57,493.94
Hand act foreign whose house.,305.05,62,948.41
Also body whole fact impact happy rich.,366.53,35,773.35
Successful like single able plant.,337.87,33,784.06
House mission several human green.,957.49,44,282.34
Movement work answer least part rest cup.,589.7,19,469.68
Fill three create including field.,630.63,37,813.03
