Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Away matter too television interesting southern.,688.41,46,326.63
Worry cover relationship individual myself minute cup.,779.15,42,436.45
Recent experience artist.,670.51,20,252.33
Cold road sport free bar.,570.04,28,214.31
Against region budget.,358.87,60,210.77
Phone foreign happen million condition under.,986.33,23,773.43
Open south ago.,559.88,46,342.67
Less try hot support.,377.77,44,222.46
Art term note explain manage high.,240.78,23,211.24
Already admit case guy reach.,447.06,40,835.94
