Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Hotel live their east hand.,383.84,64,110.3
Test late responsibility.,646.49,20,660.9
Reveal whose specific.,215.89,42,443.86
Control current instead marriage that inside.,919.96,31,383.17
Significant season establish feel street candidate work.,836.3,47,975.82
Win along decide challenge.,211.38,42,791.87
Mind food serve offer some analysis whose.,399.28,31,793.46
Sit partner buy get energy your shake.,398.73,56,839.04
People see whole exactly baby total.,377.61,24,674.48
Receive whether ten amount serious up local.,660.05,48,296.47
