Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
White movie author speech hand box system create.,679.94,19,178.07
Generation first man total.,446.6,56,569.4
Think lawyer end.,881.68,60,825.64
Cost western cause once too rather response.,849.26,61,661.83
Provide discuss sure personal yeah.,347.65,44,138.49
Shake scene sport win.,711.45,48,859.79
Method manager son security.,167.24,42,242.11
Condition approach commercial create out.,639.44,33,298.96
Case general speak almost wife join.,740.8,54,459.72
Job soon western tree miss its sort in.,185.44,23,603.74
