Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Outside laugh too rather growth serious.,796.52,24,831.12
Assume need bag discuss.,607.95,62,660.18
Foot civil trade throughout win.,487.34,38,887.39
Stuff position machine.,519.75,29,125.53
Right herself account first star night none.,982.24,36,590.93
Police wall soon.,380.02,45,847.75
Herself himself exist today whatever toward.,242.05,40,697.13
Six Republican production become.,628.58,32,722.69
Appear effect two authority age tough.,123.08,62,964.08
After safe could such consumer.,954.31,60,310.27
