Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Bar today democratic.,909.14,65,512.12
Half knowledge hair race money.,357.18,34,547.59
Moment especially without ahead travel among read quite.,724.9,42,792.0
Effort worker make consider arrive.,911.42,37,757.82
Evidence fight change message back state.,623.67,55,930.19
Occur drive country order.,372.1,52,257.93
Team police customer special care.,786.86,32,661.72
Store no too mouth customer.,339.42,61,393.15
Special child start.,989.18,47,954.73
Spend example hundred feeling.,776.53,35,518.68
