Produto/Serviço Vendido,Preço de Venda,Quantidade Vendida,Receita
Discussion population week continue chance.,148.44,49,149.68
Size single past agreement.,498.13,45,177.8
Loss news range special.,178.53,23,400.4
Why research south mind.,762.87,48,168.47
Others blood arrive cup teacher.,816.61,35,207.97
Long argue trip how fly business thought.,482.55,26,561.65
Drive measure business get role father.,810.1,39,108.2
Institution force last nothing sit.,580.19,50,717.02
Week concern seek sport chair prevent.,945.51,50,364.04
After meet my chance board network.,654.83,48,195.92
